Customer ID,Recency,Frequency,Monetary,R_Score,F_Score,M_Score,RFM_Score,Customer Segment
12346,326,34,207.4,2,2,3,223,Hibernating
12608,405,16,26.04,2,1,1,211,Hibernating
12745,487,22,67.98,1,2,2,122,Hibernating
12746,541,17,59.1,1,2,2,122,Hibernating
12747,2,249,1092.72,5,5,5,555,Champion
12748,1,6587,20115.95,5,5,5,555,Champion
12749,4,338,1851.93,5,5,5,555,Champion
12777,458,26,83.21,1,2,2,122,Hibernating
12819,458,19,63.35,1,2,2,122,Hibernating
12820,3,160,396.02,5,4,4,544,Champion
12821,214,13,31.28,2,1,1,211,Hibernating
12822,71,46,123.86,3,3,3,333,Potential Loyalist
12823,75,18,124.3,3,2,3,323,Potential Loyalist
12824,60,25,63.39,4,2,2,422,New Customer
12825,521,24,147.74,1,2,3,123,Hibernating
12826,3,157,311.08,5,4,4,544,Champion
12827,6,25,71.7,5,2,2,522,Promising
12828,3,56,173.04,5,3,3,533,Potential Loyalist
12829,337,19,149.18,2,2,3,223,Hibernating
12830,38,38,41.28,4,3,1,431,Potential Loyalist
12831,262,22,62.269999999999996,2,2,2,222,Hibernating
12832,32,27,79.08,4,2,2,422,New Customer
12833,145,24,130.59,3,2,3,323,Potential Loyalist
12834,283,18,88.09,2,2,2,222,Hibernating
12835,428,615,2212.43,1,5,5,155,Cannot Lose Them
12836,59,411,1873.87,4,5,5,455,Champion
12837,173,88,364.37,3,4,4,344,Loyal Customer
12838,34,356,872.8,4,5,5,455,Champion
12839,3,554,1179.15,5,5,5,555,Champion
12840,144,176,377.07,3,5,4,354,Loyal Customer
12841,5,644,1552.89,5,5,5,555,Champion
12842,70,48,181.83,3,3,3,333,Potential Loyalist
12843,66,219,919.64,3,5,5,355,Loyal Customer
12844,29,103,341.03000000000003,4,4,4,444,Loyal Customer
12845,267,27,75.34,2,2,2,222,Hibernating
12846,682,1,15.58,1,1,1,111,Lost
12847,22,119,159.41,4,4,3,443,Need Attention
12848,676,16,63.55,1,1,2,112,Lost
